ATCOCode,NaptanCode,PlateCode,CleardownCode,CommonName,CommonNameLang,ShortCommonName,ShortCommonNameLang,Landmark,LandmarkLang,Street,StreetLang,Crossing,CrossingLang,Indicator,IndicatorLang,Bearing,NptgLocalityCode,LocalityName,ParentLocalityName,GrandParentLocalityName,Town,TownLang,Suburb,SuburbLang,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,DefaultWaitTime,Notes,NotesLang,AdministrativeAreaCode,CreationDateTime,ModificationDateTime,RevisionNumber,Modification,Status
0100BRP92029,bstdjmt,,,Henley Grove,,,,,,Henleaze Road,,,,NE-bound,,NE,E0035611,Henleaze,Bristol,,,,,,false,UKOS,357660,176482,-2.61116,51.48569,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:46:58,4,new,active
0100BRP92032,bstdmda,,,Henleaze Park Drive,,,,,,Henleaze Road,,,,SW-bound,,SW,E0035611,Henleaze,Bristol,,,,,,false,UKOS,357796,176668,-2.60922,51.48738,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-10-11T14:58:26,4,new,active
0100BRP92030,bstdjat,,,Northumbria Drive,,,,,,Northumbria Drive,,,,N-bound,,N,E0035669,Westbury Park,Bristol,,,,,,false,UKOS,357579,175931,-2.61226,51.48073,BCT,MKD,OTH,,,,009,2008-09-05T00:00:00,2017-07-04T13:37:23,8,new,active
0100BRP92031,bstdjgm,,,Northumbria Drive,,,,,,Northumbria Drive,,,,SE-bound,,SE,E0035669,Westbury Park,Bristol,,,,,,false,UKOS,357622,175890,-2.61164,51.48037,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2020-08-18T16:06:29,25,new,active
0100BRP92042,bstdmdj,,,Chapel Green Lane,,,,,,Redland Road,,,,NW-bound,,NW,E0035635,Redland,Bristol,,,,,,false,UKOS,357754,175004,-2.60963,51.47241,BCT,MKD,OTH,,,,009,2009-10-02T00:00:00,2020-06-16T10:45:18,11,new,active
0100BRP92047,bstdmpw,,,Chapel Green Lane,,,,,,Redland Road,,,,SE-bound,,SE,E0035635,Redland,Bristol,,,,,,false,UKOS,357804,174979,-2.60891,51.47219,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2020-08-18T16:09:27,13,new,active
0100053250,bstdtgw,,,Myrtle Road,,,,,,Saint Michael's Hill,,,,N-bound,,N,N0077029,Kingsdown,Bristol,,,,,,false,UKOS,358334,173590,-2.60111,51.45974,BCT,MKD,OTH,,,,009,2016-10-31T00:00:00,2016-10-31T10:46:58,8,new,active
0100BRP92041,bstdtgm,,,Myrtle Road,,,,,,Saint Michael's Hill,,,,S-bound,,S,N0077029,Kingsdown,Bristol,,,,,,false,UKOS,358322,173670,-2.60129,51.46046,BCT,MKD,OTH,,,,009,2009-08-25T00:00:00,2016-10-31T10:46:58,11,new,active
0100BRP92040,bstgamj,,,Longmead Avenue,,,,,,Kellaway Avenue,,,,SW-bound,,SW,E0035605,Golden Hill,Bristol,,,,,,false,UKOS,358672,176364,-2.59657,51.48471,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:46:58,4,new,active
0100BRP92039,bstgawt,,,Longmead Avenue,,,,,,Kellaway Avenue,,,,NE-bound,,NE,E0035605,Golden Hill,Bristol,,,,,,false,UKOS,358732,176445,-2.59572,51.48544,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2016-10-31T10:46:58,4,new,active
0100BRP92038,bstdwmw,,,Kingsholm Road,,,,,,Southmead Road,,,,SW-bound,,SW,E0035644,Southmead,Bristol,,,,,,false,UKOS,358565,177691,-2.59827,51.49663,BCT,MKD,OTH,,,,009,2003-06-12T00:00:00,2023-10-11T15:02:55,4,new,active
